ID,Behavior,Time
EM01_WD2,A = LOCOMOTION,1.06641
EM01_WD2,W = REARED SNIFF,8.0625
EM01_WD2,J = DIGGING,0.60546
EM01_WD2,W = REARED SNIFF,6.46484
EM01_WD2,A = LOCOMOTION,5.00781
EM01_WD2,A = LOCOMOTION,0.31641
EM01_WD2,J = DIGGING,0.66797
EM01_WD2,W = REARED SNIFF,5.33203
EM01_WD2,A = LOCOMOTION,0.85547
EM01_WD2,A = LOCOMOTION,0.01953
EM01_WD2,W = REARED SNIFF,11.41016
EM01_WD2,J = DIGGING,0.91797
EM01_WD2,A = LOCOMOTION,0.5625
EM01_WD2,W = REARED SNIFF,5.80469
EM01_WD2,A = LOCOMOTION,0.70313
EM01_WD2,H = JUMPING,0.09765
EM01_WD2,W = REARED SNIFF,9.53125
EM01_WD2,S = SCRATCHING,0.44532
EM01_WD2,D = GROOMING,0.38281
EM01_WD2,F = CHEWING,1.41406
EM01_WD2,L = SHAKING,1.59375
EM01_WD2,D = GROOMING,1.8125
EM01_WD2,J = DIGGING,0.09375
EM01_WD2,J = DIGGING,1.85547
EM01_WD2,S = SCRATCHING,0.44531
EM01_WD2,F = CHEWING,1.38672
EM01_WD2,W = REARED SNIFF,4.76953
EM01_WD2,A = LOCOMOTION,0.31641
EM01_WD2,W = REARED SNIFF,4.43359
EM01_WD2,E = AGITATION OTHER,0.57422
EM01_WD2,W = REARED SNIFF,9.47655
EM01_WD2,E = AGITATION OTHER,0.7617
EM01_WD2,W = REARED SNIFF,2.1915
EM01_WD2,W = REARED SNIFF,0.7969
EM01_WD2,H = JUMPING,0.0938
EM01_WD2,W = REARED SNIFF,4.5664
EM01_WD2,W = REARED SNIFF,3.9102
EM01_WD2,W = REARED SNIFF,2.7852
EM01_WD2,W = REARED SNIFF,11.8125
EM01_WD2,A = LOCOMOTION,0.8945
EM01_WD2,W = REARED SNIFF,4.707
EM01_WD2,A = LOCOMOTION,0.8125
EM01_WD2,W = REARED SNIFF,12.8633
EM01_WD2,W = REARED SNIFF,4.0156
EM01_WD2,E = AGITATION OTHER,0.7031
EM01_WD2,W = REARED SNIFF,3.0078
EM01_WD2,W = REARED SNIFF,14.1485
EM01_WD2,J = DIGGING,0.6641
EM01_WD2,A = LOCOMOTION,0.3477
EM01_WD2,S = SCRATCHING,2.2422
EM01_WD2,F = CHEWING,1.4805
EM01_WD2,S = SCRATCHING,0.125
EM01_WD2,S = SCRATCHING,1.9062
EM01_WD2,F = CHEWING,0.5664
EM01_WD2,J = DIGGING,3.9141
EM01_WD2,W = REARED SNIFF,11.9102
EM01_WD2,A = LOCOMOTION,0.5429
EM01_WD2,W = REARED SNIFF,6.379
EM01_WD2,L = SHAKING,1.9336
EM01_WD2,W = REARED SNIFF,0.5
EM01_WD2,W = REARED SNIFF,10.7539
EM01_WD2,S = SCRATCHING,0.9531
EM01_WD2,F = CHEWING,0.1914
EM01_WD2,F = CHEWING,2.0664
EM01_WD2,S = SCRATCHING,0.8281
EM01_WD2,F = CHEWING,1.0195
EM01_WD2,D = GROOMING,13.1211
EM01_WD2,D = GROOMING,1.5977
EM01_WD2,A = LOCOMOTION,1.4297
EM01_WD2,W = REARED SNIFF,17.9765
EM01_WD2,W = REARED SNIFF,2.7968
EM01_WD2,W = REARED SNIFF,2.9297
EM01_WD2,S = SCRATCHING,0.5078
EM01_WD2,W = REARED SNIFF,1.4415
EM01_WD2,F = CHEWING,3.0235
EM01_WD2,D = GROOMING,1.543
EM01_WD2,F = CHEWING,2.0508
EM01_WD2,F = CHEWING,0.5703
EM01_WD2,D = GROOMING,1.5117
EM01_WD2,F = CHEWING,2.2852
EM01_WD2,D = GROOMING,3.539
EM01_WD2,D = GROOMING,4.0547
EM01_WD2,F = CHEWING,1.7773
EM01_WD2,D = GROOMING,2.1875
EM01_WD2,D = GROOMING,5.7578
EM01_WD2,W = REARED SNIFF,6.7735
EM01_WD2,W = REARED SNIFF,16.3633
EM01_WD2,A = LOCOMOTION,0.5703
EM01_WD2,W = REARED SNIFF,5.3008
EM01_WD2,A = LOCOMOTION,5.9414
EM01_WD2,W = REARED SNIFF,4.1835
EM01_WD2,W = REARED SNIFF,6.0469
EM01_WD2,A = LOCOMOTION,0.8906
EM01_WD2,W = REARED SNIFF,0.7969
EM01_WD2,W = REARED SNIFF,5.168
EM01_WD2,J = DIGGING,1.2656
EM01_WD2,W = REARED SNIFF,1.3672
EM01_WD2,A = LOCOMOTION,1.2891
EM01_WD2,W = REARED SNIFF,0.9219
