subject,behavior,behavior_frequency.x,behavior_time.x,rater.x,behavior_frequency.y,behavior_time.y,rater.y,mean_count,mean_time
EM01,grooming,2,0.2539,Luna,0,0,Maya,2,0.2539
EM01,rearing,17,36.50776,Luna,15,36.80839,Maya,16,36.658075
EM01,dip,18,56.85567,Luna,21,79.65637,Maya,19.5,68.25602
EM02,grooming,0,0,Luna,1,1.1797,Maya,0,0
EM02,rearing,27,60.64041,Luna,24,56.08193,Maya,25.5,58.36117
EM02,dip,19,76.67194,Luna,21,93.94946,Maya,20,85.3107
EM07,grooming,0,0,Luna,0,0,Maya,0,0
EM07,rearing,20,34.6447,Luna,31,40.56268,Maya,25.5,37.60369
EM07,dip,35,94.61681,Luna,29,107.24575,Maya,32,100.93128
EM08,grooming,2,3.3633,Luna,1,0.6914,Maya,2,3.3633
EM08,rearing,20,58.20308,Luna,27,61.53894,Maya,23.5,59.87101
EM08,dip,28,84.75789,Luna,27,93.37926,Maya,27.5,89.06857500000001
EM11,grooming,5,13.3633,Luna,1,2.1524,Maya,5,13.3633
EM11,rearing,19,36.027323,Luna,24,50.99624,Maya,21.5,43.5117815
EM11,dip,24,89.54673,Luna,28,90.52757,Maya,26,90.03715
EM12,grooming,1,3.1289,Luna,3,2.74231,Maya,1,3.1289
EM12,rearing,24,47.11324,Luna,22,51.13677,Maya,23,49.125005
EM12,dip,34,86.17966,Luna,36,93.35527,Maya,35,89.767465
