subject,behavior,behavior_frequency.x,behavior_time.x,rater.x,behavior_frequency.y,behavior_time.y,rater.y,mean_count,mean_time
EM01,grooming,0,0,Luna,0,0,Maya,0,0
EM01,rearing,20,31.94564,Luna,14,25.40249,Maya,17,28.674065
EM01,dip,26,112.687436,Luna,28,126.53516,Maya,27,119.611298
EM02,grooming,0,0,Luna,0,0,Maya,0,0
EM02,rearing,22,37.43742,Luna,21,48.51182,Maya,21.5,42.97462
EM02,dip,34,97.512008,Luna,31,118.007816,Maya,32.5,107.759912
EM07,grooming,0,0,Luna,0,0,Maya,0,0
EM07,rearing,27,35.562716,Luna,20,52.40999,Maya,23.5,43.986353
EM07,dip,33,81.71493,Luna,25,109.23428,Maya,29,95.474605
EM08,grooming,0,0,Luna,0,0,Maya,0,0
EM08,rearing,28,51.94136,Luna,20,58.40968,Maya,24,55.175520000000006
EM08,dip,40,91.132565,Luna,38,100.797091,Maya,39,95.964828
EM11,grooming,0,0,Luna,0,0,Maya,0,0
EM11,rearing,12,24.0742,Luna,12,33.42969,Maya,12,28.751945
EM11,dip,24,48.710769,Luna,31,73.957228,Maya,27.5,61.3339985
EM12,grooming,0,0,Luna,0,0,Maya,0,0
EM12,rearing,13,21.62893,Luna,14,45.72678,Maya,13.5,33.677855
EM12,dip,14,17.996066,Luna,20,55.84765,Maya,17,36.921858
