subject,total_session,total_entries,entry_time,entry_time_pct,crossings_per_area,behavior,behavior_frequency,behavior_time,rater
EM01,OPEN ARM,19,176.929632,55.8823529411765 %,115,E = GROOMING,0,0,Luna
EM01,CLOSED ARM,15,93.011962,44.1176470588235 %,81,R = REARING,20,31.94564,Luna
EM01,CENTRAL SQUARE (epm),,30.058406,,33,S = HEAD DIPPING,26,112.687436,Luna
EM02,OPEN ARM,22,170.913804,57.8947368421053 %,112,E = GROOMING,0,0,Luna
EM02,CLOSED ARM,16,82.1563,42.1052631578947 %,73,R = REARING,22,37.43742,Luna
EM02,CENTRAL SQUARE (epm),,46.929896,,37,S = HEAD DIPPING,34,97.512008,Luna
EM07,OPEN ARM,17,145.437549,47.2222222222222 %,77,E = GROOMING,0,0,Luna
EM07,CLOSED ARM,19,107.234259,52.7777777777778 %,83,R = REARING,27,35.562716,Luna
EM07,CENTRAL SQUARE (epm),,47.328192,,35,S = HEAD DIPPING,33,81.71493,Luna
EM08,OPEN ARM,17,143.9024,56.6666666666667 %,81,E = GROOMING,0,0,Luna
EM08,CLOSED ARM,13,109.35569,43.3333333333333 %,90,R = REARING,28,51.94136,Luna
EM08,CENTRAL SQUARE (epm),,46.74191,,29,S = HEAD DIPPING,40,91.132565,Luna
EM11,OPEN ARM,8,103.28519,38.0952380952381 %,30,E = GROOMING,0,0,Luna
EM11,CLOSED ARM,13,146.5119,61.9047619047619 %,84,R = REARING,12,24.0742,Luna
EM11,CENTRAL SQUARE (epm),,50.20291,,20,S = HEAD DIPPING,24,48.710769,Luna
EM12,OPEN ARM,7,90.464856,38.8888888888889 %,21,E = GROOMING,0,0,Luna
EM12,CLOSED ARM,11,177.42577,61.1111111111111 %,83,R = REARING,13,21.62893,Luna
EM12,CENTRAL SQUARE (epm),,32.109374,,17,S = HEAD DIPPING,14,17.996066,Luna
