ID,Not Buried,Half Buried,Fully Buried,Total buried,Date,Stage
EM01,7,8,10,18,3/6/2026,BL
EM02,5,3,7,10,3/6/2026,BL
EM07,5,1,9,10,3/6/2026,BL
EM08,3,2,10,12,3/6/2026,BL
EM11,2,3,10,13,3/6/2026,BL
EM12,4,3,8,11,3/6/2026,BL
EM01,4,3,8,11,3/21/26,WD1
EM02,0,0,15,15,3/21/26,WD1
EM07,3,3,9,12,3/21/26,WD1
EM08,0,5,10,15,3/21/26,WD1
EM11,0,2,13,15,3/21/26,WD1
EM12,3,2,10,12,3/21/26,WD1
EM01,2,2,11,13,3/27/26,WD2
EM02,1,2,12,14,3/27/26,WD2
EM07,3,2,10,12,3/27/26,WD2
EM08,5,3,7,10,3/27/26,WD2
EM11,2,0,13,13,3/27/26,WD2
EM12,1,3,11,14,3/27/26,WD2
