subject,total_session,total_entries,entry_time,entry_time_pct,crossings_per_area,behavior,behavior_frequency,behavior_time,rater
EM01,OPEN ARM,11,112.421797,39.2857142857143 %,63,E = GROOMING,2,0.2539,Luna
EM01,CLOSED ARM,17,142.4885,60.7142857142857 %,89,R = REARING,17,36.50776,Luna
EM01,CENTRAL SQUARE (epm),,45.089703,,27,S = HEAD DIPPING,18,56.85567,Luna
EM02,OPEN ARM,8,116.7969,42.1052631578947 %,32,E = GROOMING,0,0,Luna
EM02,CLOSED ARM,11,141.99616,57.8947368421053 %,89,R = REARING,27,60.64041,Luna
EM02,CENTRAL SQUARE (epm),,41.20694,,18,S = HEAD DIPPING,19,76.67194,Luna
EM07,OPEN ARM,13,159.35532,43.3333333333333 %,81,E = GROOMING,0,0,Luna
EM07,CLOSED ARM,17,104.82046,56.6666666666667 %,81,R = REARING,20,34.6447,Luna
EM07,CENTRAL SQUARE (epm),,35.82422,,30,S = HEAD DIPPING,35,94.61681,Luna
EM08,OPEN ARM,15,128.23844,53.5714285714286 %,55,E = GROOMING,2,3.3633,Luna
EM08,CLOSED ARM,13,110.480394,46.4285714285714 %,89,R = REARING,20,58.20308,Luna
EM08,CENTRAL SQUARE (epm),,61.281166,,27,S = HEAD DIPPING,28,84.75789,Luna
EM11,OPEN ARM,12,114.28142,52.1739130434783 %,36,E = GROOMING,5,13.3633,Luna
EM11,CLOSED ARM,11,153.300789,47.8260869565217 %,62,R = REARING,19,36.027323,Luna
EM11,CENTRAL SQUARE (epm),,32.417791,,22,S = HEAD DIPPING,24,89.54673,Luna
EM12,OPEN ARM,13,159.74623,54.1666666666667 %,71,E = GROOMING,1,3.1289,Luna
EM12,CLOSED ARM,11,99.062346,45.8333333333333 %,80,R = REARING,24,47.11324,Luna
EM12,CENTRAL SQUARE (epm),----,41.191424,,23,S = HEAD DIPPING,34,86.17966,Luna
