ID,Behavior,Time
EM01_BL,W = REARED SNIFF,1.05859
EM01_BL,A = LOCOMOTION,5.61719
EM01_BL,W = REARED SNIFF,2.78125
EM01_BL,A = LOCOMOTION,0.65625
EM01_BL,W = REARED SNIFF,0.37109
EM01_BL,W = REARED SNIFF,0.21875
EM01_BL,D = GROOMING,8.03515
EM01_BL,D = GROOMING,25.21875
EM01_BL,W = REARED SNIFF,0.8086
EM01_BL,W = REARED SNIFF,0.4375
EM01_BL,W = REARED SNIFF,0.6562
EM01_BL,F = CHEWING,0.5312
EM01_BL,F = CHEWING,0.3437
EM01_BL,F = CHEWING,0.4062
EM01_BL,D = GROOMING,34.3046
EM01_BL,D = GROOMING,11.2226
EM02_BL,W = REARED SNIFF,0.09375
EM02_BL,W = REARED SNIFF,3.566406
EM02_BL,A = LOCOMOTION,0.28515
EM02_BL,W = REARED SNIFF,1.33203
EM02_BL,A = LOCOMOTION,0.57031
EM02_BL,W = REARED SNIFF,12.19141
EM02_BL,A = LOCOMOTION,0.41016
EM02_BL,W = REARED SNIFF,10.9375
EM02_BL,A = LOCOMOTION,2.72656
EM02_BL,W = REARED SNIFF,2.45312
EM02_BL,A = LOCOMOTION,0.41016
EM02_BL,W = REARED SNIFF,4.10156
EM02_BL,W = REARED SNIFF,7.59375
EM02_BL,A = LOCOMOTION,3.77735
EM02_BL,W = REARED SNIFF,0.38281
EM02_BL,W = REARED SNIFF,4.65234
EM02_BL,A = LOCOMOTION,1.03906
EM02_BL,W = REARED SNIFF,4.30468
EM02_BL,W = REARED SNIFF,1.04688
EM02_BL,A = LOCOMOTION,0.57032
EM02_BL,W = REARED SNIFF,0.22265
EM02_BL,H = JUMPING,0.15625
EM02_BL,A = LOCOMOTION,1
EM02_BL,W = REARED SNIFF,1.67969
EM02_BL,W = REARED SNIFF,3.59765
EM02_BL,W = REARED SNIFF,3.10156
EM02_BL,S = SCRATCHING,0.88672
EM02_BL,W = REARED SNIFF,0.4726
EM02_BL,W = REARED SNIFF,7.0351
EM02_BL,A = LOCOMOTION,0.3477
EM02_BL,W = REARED SNIFF,9.9219
EM02_BL,W = REARED SNIFF,0.0469
EM02_BL,W = REARED SNIFF,4.293
EM02_BL,F = CHEWING,1.0469
EM02_BL,W = REARED SNIFF,0.4414
EM02_BL,W = REARED SNIFF,9.6055
EM02_BL,D = GROOMING,4.9727
EM02_BL,W = REARED SNIFF,31.7656
EM02_BL,A = LOCOMOTION,0.2227
EM02_BL,W = REARED SNIFF,5.3555
EM02_BL,D = GROOMING,8.3321
EM02_BL,H = JUMPING,0.6953
EM02_BL,F = CHEWING,0.125
EM02_BL,F = CHEWING,2.4062
EM02_BL,D = GROOMING,0.4453
EM02_BL,D = GROOMING,1.9766
EM02_BL,W = REARED SNIFF,6.3789
EM02_BL,D = GROOMING,3.8359
EM02_BL,S = SCRATCHING,0.5391
EM02_BL,F = CHEWING,1.6211
EM02_BL,W = REARED SNIFF,4.0039
EM02_BL,W = REARED SNIFF,8.8555
EM02_BL,W = REARED SNIFF,2.1367
EM02_BL,W = REARED SNIFF,14.2187
EM02_BL,A = LOCOMOTION,4.6289
EM02_BL,W = REARED SNIFF,8.3946
EM02_BL,W = REARED SNIFF,4.8204
EM02_BL,A = LOCOMOTION,2.5234
EM02_BL,W = REARED SNIFF,5.7109
EM02_BL,W = REARED SNIFF,20.8203
EM02_BL,A = LOCOMOTION,2.9023
EM02_BL,W = REARED SNIFF,10.1523
EM02_BL,A = LOCOMOTION,1.3945
EM02_BL,W = REARED SNIFF,13.3515
EM02_BL,S = SCRATCHING,2.1836
EM02_BL,S = SCRATCHING,1.7774
EM02_BL,F = CHEWING,0.3829
EM02_BL,S = SCRATCHING,0.4101
EM02_BL,F = CHEWING,1.0156
EM02_BL,S = SCRATCHING,0.6523
EM02_BL,D = GROOMING,8.3789
EM02_BL,F = CHEWING,1.6797
EM02_BL,F = CHEWING,2.207
EM02_BL,A = LOCOMOTION,0.125
EM02_BL,W = REARED SNIFF,2.3437
EM02_BL,D = GROOMING,15.5664
EM02_BL,D = GROOMING,1.6133
EM02_BL,W = REARED SNIFF,2.4414
EM02_BL,W = REARED SNIFF,1.2109
EM02_BL,D = GROOMING,0.5586
EM02_BL,D = GROOMING,2.6875
EM02_BL,D = GROOMING,2.5156
EM02_BL,D = GROOMING,1.3946
EM02_BL,W = REARED SNIFF,3.5039
EM02_BL,A = LOCOMOTION,1.4609
EM02_BL,S = SCRATCHING,3.7422
EM02_BL,F = CHEWING,0.6953
EM02_BL,S = SCRATCHING,1.9844
EM02_BL,W = REARED SNIFF,1.0274
EM02_BL,S = SCRATCHING,1.3633
EM02_BL,D = GROOMING,0.0938
EM02_BL,D = GROOMING,0.0938
EM02_BL,D = GROOMING,5.3789
EM02_BL,A = LOCOMOTION,4.6797
EM02_BL,W = REARED SNIFF,5.7656
EM02_BL,J = DIGGING,0.9023
EM02_BL,A = LOCOMOTION,1.2696
EM02_BL,W = REARED SNIFF,0.125
EM02_BL,W = REARED SNIFF,4.1016
EM02_BL,A = LOCOMOTION,0.0937
EM02_BL,W = REARED SNIFF,4.1953
EM02_BL,A = LOCOMOTION,1.9649
EM07_BL,W = REARED SNIFF,2.519531
EM07_BL,A = LOCOMOTION,1.480469
EM07_BL,W = REARED SNIFF,3.140621
EM07_BL,A = LOCOMOTION,3.55859
