ID,Behavior,Time
EM01_WD1,D = GROOMING,1.960938
EM01_WD1,W = REARED SNIFF,1.0625
EM01_WD1,A = LOCOMOTION,1.093749
EM01_WD1,W = REARED SNIFF,0.0625
EM01_WD1,W = REARED SNIFF,6.1211
EM01_WD1,A = LOCOMOTION,0.09766
EM01_WD1,W = REARED SNIFF,9.54688
EM01_WD1,A = LOCOMOTION,3.0586
EM01_WD1,W = REARED SNIFF,11.35546
EM01_WD1,A = LOCOMOTION,1.17578
EM01_WD1,J = DIGGING,0.79297
EM01_WD1,W = REARED SNIFF,5.73828
EM01_WD1,W = REARED SNIFF,0.69922
EM01_WD1,W = REARED SNIFF,0.25391
EM01_WD1,W = REARED SNIFF,46.77731
EM01_WD1,W = REARED SNIFF,3.0898
EM01_WD1,W = REARED SNIFF,1.3321
EM01_WD1,F = CHEWING,18.9063
EM01_WD1,A = LOCOMOTION,2.1133
EM01_WD1,S = SCRATCHING,0.668
EM01_WD1,F = CHEWING,0.125
EM01_WD1,F = CHEWING,2.3633
EM01_WD1,E = AGITATION OTHER,0.5079
EM01_WD1,A = LOCOMOTION,3.1679
EM01_WD1,A = LOCOMOTION,1.4258
EM01_WD1,H = JUMPING,0.125
EM01_WD1,H = JUMPING,0.5078
EM01_WD1,W = REARED SNIFF,6.7383
EM01_WD1,A = LOCOMOTION,1.043
EM01_WD1,W = REARED SNIFF,6.9414
EM01_WD1,A = LOCOMOTION,1.1133
EM01_WD1,W = REARED SNIFF,9.4101
EM01_WD1,A = LOCOMOTION,0.629
EM01_WD1,A = LOCOMOTION,2.7734
EM01_WD1,W = REARED SNIFF,4.3125
EM01_WD1,,
EM01_WD1,,
EM01_WD1,,
EM01_WD1,F = CHEWING,5.2735
EM01_WD1,A = LOCOMOTION,1.0157
EM01_WD1,H = JUMPING,0.1602
EM01_WD1,A = LOCOMOTION,0.7265
EM01_WD1,W = REARED SNIFF,11.4883
EM01_WD1,A = LOCOMOTION,1.5195
EM01_WD1,W = REARED SNIFF,8.3047
EM01_WD1,A = LOCOMOTION,0.6836
EM01_WD1,W = REARED SNIFF,5.5
EM01_WD1,E = AGITATION OTHER,1.2578
EM01_WD1,W = REARED SNIFF,3.6953
EM01_WD1,F = CHEWING,0.1367
EM01_WD1,,
EM01_WD1,F = CHEWING,2.082
EM01_WD1,W = REARED SNIFF,3.0118
EM01_WD1,L = SHAKING,0.3477
EM01_WD1,L = SHAKING,0.4414
EM01_WD1,F = CHEWING,0.9649
EM01_WD1,D = GROOMING,7.2812
EM01_WD1,F = CHEWING,0.5391
EM01_WD1,D = GROOMING,0.0625
EM01_WD1,D = GROOMING,2.7422
EM01_WD1,W = REARED SNIFF,18.5586
EM01_WD1,F = CHEWING,0.4453
EM01_WD1,A = LOCOMOTION,0.5078
EM01_WD1,D = GROOMING,3.043
EM01_WD1,D = GROOMING,0.3789
EM01_WD1,S = SCRATCHING,0.918
EM01_WD1,D = GROOMING,0.6641
EM01_WD1,F = CHEWING,1.7343
EM01_WD1,D = GROOMING,0.8868
EM01_WD1,F = CHEWING,0.3828
EM01_WD1,S = SCRATCHING,0.9688
EM01_WD1,W = REARED SNIFF,0.5703
EM01_WD1,F = CHEWING,0.5078
EM01_WD1,D = GROOMING,2.5156
EM01_WD1,F = CHEWING,3.4336
EM01_WD1,D = GROOMING,42.2461
EM01_WD1,,
EM01_WD1,D = GROOMING,1.457
EM01_WD1,W = REARED SNIFF,2.5625
EM01_WD1,A = LOCOMOTION,0.2187
EM01_WD1,D = GROOMING,2.1055
EM01_WD1,W = REARED SNIFF,3.7695
EM01_WD1,D = GROOMING,4.9844
EM01_WD1,D = GROOMING,3.6289
EM01_WD1,W = REARED SNIFF,12.2149
EM01_WD1,W = REARED SNIFF,7.9726
EM01_WD1,A = LOCOMOTION,2.1914
EM01_WD1,S = SCRATCHING,1.7734
EM01_WD1,D = GROOMING,0.539
EM01_WD1,E = AGITATION OTHER,0.4102
EM01_WD1,F = CHEWING,0.9179
EM01_WD1,S = SCRATCHING,1.6914
EM01_WD1,F = CHEWING,1.0938
EM01_WD1,W = REARED SNIFF,0
EM01_WD1,W = REARED SNIFF,14.4063
EM01_WD1,A = LOCOMOTION,5.0664
EM01_WD1,W = REARED SNIFF,10.4336
EM01_WD1,W = REARED SNIFF,1.2031
EM01_WD1,A = LOCOMOTION,0.4765
EM01_WD1,W = REARED SNIFF,7.4961
EM01_WD1,W = REARED SNIFF,2.4687
EM01_WD1,W = REARED SNIFF,7.707
EM01_WD1,E = AGITATION OTHER,1.2735
EM01_WD1,W = REARED SNIFF,8.6406
EM01_WD1,,
EM01_WD1,W = REARED SNIFF,5.4687
EM01_WD1,A = LOCOMOTION,1.25
EM01_WD1,W = REARED SNIFF,0.0976
EM01_WD1,W = REARED SNIFF,16.0625
EM01_WD1,D = GROOMING,0.4766
EM01_WD1,D = GROOMING,0.414
EM01_WD1,F = CHEWING,0.9023
EM01_WD1,S = SCRATCHING,0.586
EM01_WD1,D = GROOMING,0.9531
EM01_WD1,W = REARED SNIFF,14.4844
EM01_WD1,D = GROOMING,0.5391
EM01_WD1,F = CHEWING,11.4648
EM01_WD1,W = REARED SNIFF,0.7422
EM01_WD1,W = REARED SNIFF,1.1719
EM01_WD1,W = REARED SNIFF,18.9453
EM01_WD1,S = SCRATCHING,1.7422
EM01_WD1,F = CHEWING,0.7304
EM01_WD1,S = SCRATCHING,1.4414
EM01_WD1,F = CHEWING,1.207
EM01_WD1,,
EM01_WD1,L = SHAKING,1.2305
EM01_WD1,S = SCRATCHING,0.5547
EM01_WD1,D = GROOMING,5.0117
EM01_WD1,F = CHEWING,5.7031
EM01_WD1,D = GROOMING,1.8945
EM02_WD1,A = LOCOMOTION,0.18359
EM02_WD1,W = REARED SNIFF,1.1875
EM02_WD1,W = REARED SNIFF,12.74609
EM02_WD1,D = GROOMING,0.77734
EM02_WD1,W = REARED SNIFF,1.77343
EM02_WD1,A = LOCOMOTION,2.2461
EM02_WD1,W = REARED SNIFF,0.375
EM02_WD1,W = REARED SNIFF,0.125
EM02_WD1,D = GROOMING,5.46094
EM02_WD1,F = CHEWING,3.48828
EM02_WD1,D = GROOMING,3.97656
EM02_WD1,W = REARED SNIFF,2.85156
EM02_WD1,S = SCRATCHING,0.84375
EM02_WD1,F = CHEWING,0.90625
EM02_WD1,A = LOCOMOTION,1.03125
EM02_WD1,W = REARED SNIFF,1.71875
EM02_WD1,A = LOCOMOTION,0.6211
EM02_WD1,L = SHAKING,1.07031
EM02_WD1,A = LOCOMOTION,0.0625
EM02_WD1,W = REARED SNIFF,0.1289
EM02_WD1,A = LOCOMOTION,1.10937
EM02_WD1,W = REARED SNIFF,3.51953
EM02_WD1,J = DIGGING,1.3125
EM02_WD1,W = REARED SNIFF,5.19141
EM02_WD1,W = REARED SNIFF,9.75
EM02_WD1,D = GROOMING,4.1914
EM02_WD1,D = GROOMING,0.71875
EM02_WD1,F = CHEWING,1.28125
EM02_WD1,D = GROOMING,0.59375
EM02_WD1,W = REARED SNIFF,9.28906
EM02_WD1,D = GROOMING,0.0937
EM02_WD1,D = GROOMING,0.6523
EM02_WD1,F = CHEWING,1.6211
EM02_WD1,D = GROOMING,0.4531
EM02_WD1,W = REARED SNIFF,5.1718
EM02_WD1,,
EM02_WD1,D = GROOMING,3.8633
EM02_WD1,W = REARED SNIFF,1.5468
EM02_WD1,D = GROOMING,13.1368
EM02_WD1,D = GROOMING,3.2188
EM02_WD1,F = CHEWING,0.5313
EM02_WD1,D = GROOMING,4.2891
EM02_WD1,F = CHEWING,1.3984
EM02_WD1,D = GROOMING,6.7734
EM02_WD1,W = REARED SNIFF,4.6836
EM02_WD1,A = LOCOMOTION,0.6523
EM02_WD1,W = REARED SNIFF,20.211
EM02_WD1,A = LOCOMOTION,2.2265
EM02_WD1,W = REARED SNIFF,14.8828
EM02_WD1,A = LOCOMOTION,0.3906
EM02_WD1,W = REARED SNIFF,8.9883
EM02_WD1,A = LOCOMOTION,0.6523
EM02_WD1,G = EATING,6.1523
EM02_WD1,G = EATING,5.0625
EM02_WD1,G = EATING,0.4063
EM02_WD1,,
EM02_WD1,H = JUMPING,0.4336
EM02_WD1,J = DIGGING,1.875
EM02_WD1,G = EATING,1.0937
EM02_WD1,J = DIGGING,3.5039
EM02_WD1,W = REARED SNIFF,8.2774
EM02_WD1,W = REARED SNIFF,0.7774
EM02_WD1,A = LOCOMOTION,0.2852
EM02_WD1,W = REARED SNIFF,3.5781
EM02_WD1,A = LOCOMOTION,1.6524
EM02_WD1,A = LOCOMOTION,1.1875
EM02_WD1,J = DIGGING,1.9023
EM02_WD1,W = REARED SNIFF,18.0508
EM02_WD1,G = EATING,0.0937
EM02_WD1,F = CHEWING,1.2148
EM02_WD1,G = EATING,0.6563
EM02_WD1,D = GROOMING,0.2813
EM02_WD1,S = SCRATCHING,0.3867
EM02_WD1,G = EATING,1.6328
EM02_WD1,J = DIGGING,0.1562
EM02_WD1,J = DIGGING,0.2813
EM02_WD1,K = TWITCHING,0.1523
EM02_WD1,K = TWITCHING,0.6679
EM02_WD1,K = TWITCHING,0.1211
EM02_WD1,D = GROOMING,0.4649
EM02_WD1,F = CHEWING,2.6797
EM02_WD1,F = CHEWING,1.1836
EM02_WD1,G = EATING,4.5117
EM02_WD1,D = GROOMING,0.4687
EM02_WD1,F = CHEWING,1.5352
EM02_WD1,G = EATING,5.3516
EM02_WD1,D = GROOMING,1.9297
EM02_WD1,G = EATING,0.4688
EM02_WD1,W = REARED SNIFF,6.7304
EM02_WD1,A = LOCOMOTION,0.4687
EM02_WD1,,
EM02_WD1,D = GROOMING,0.75
EM02_WD1,F = CHEWING,1.8281
EM02_WD1,D = GROOMING,0.0313
EM02_WD1,D = GROOMING,3.7227
EM02_WD1,D = GROOMING,10.7929
EM02_WD1,S = SCRATCHING,1.1485
EM02_WD1,F = CHEWING,0.961
EM02_WD1,S = SCRATCHING,0.7656
EM02_WD1,F = CHEWING,0.125
EM02_WD1,F = CHEWING,2.1836
EM02_WD1,W = REARED SNIFF,10.3711
EM02_WD1,D = GROOMING,2.4765
EM02_WD1,D = GROOMING,1.1368
EM02_WD1,F = CHEWING,3.6719
EM02_WD1,D = GROOMING,9.2304
EM02_WD1,D = GROOMING,9.789
EM02_WD1,D = GROOMING,1.9024
EM02_WD1,F = CHEWING,1.1875
EM02_WD1,,
EM02_WD1,D = GROOMING,0.1563
EM02_WD1,A = LOCOMOTION,1.4258
EM02_WD1,W = REARED SNIFF,2.0234
EM02_WD1,A = LOCOMOTION,0.2812
EM02_WD1,W = REARED SNIFF,1.9179
EM02_WD1,A = LOCOMOTION,4.9414
EM02_WD1,A = LOCOMOTION,0.5312
EM02_WD1,W = REARED SNIFF,4.9961
EM02_WD1,W = REARED SNIFF,2.5547
EM02_WD1,A = LOCOMOTION,0.5625
EM02_WD1,S = SCRATCHING,2.8672
EM02_WD1,W = REARED SNIFF,6.3633
EM02_WD1,W = REARED SNIFF,3.6133
EM07_WD1,D = GROOMING,0.679687
EM07_WD1,D = GROOMING,0.347656
EM07_WD1,W = REARED SNIFF,3.328125
EM07_WD1,A = LOCOMOTION,0.632813
EM07_WD1,W = REARED SNIFF,1.980471
EM07_WD1,E = AGITATION OTHER,0.98047
EM07_WD1,A = LOCOMOTION,2.03907
EM07_WD1,A = LOCOMOTION,0.22266
EM07_WD1,W = REARED SNIFF,0.89062
EM07_WD1,A = LOCOMOTION,0.38282
EM07_WD1,H = JUMPING,0.09375
EM07_WD1,W = REARED SNIFF,0.26953
EM07_WD1,A = LOCOMOTION,0.1875
EM07_WD1,W = REARED SNIFF,1.58203
EM07_WD1,A = LOCOMOTION,0.60156
EM07_WD1,W = REARED SNIFF,0.23437
EM07_WD1,H = JUMPING,0.16016
EM07_WD1,W = REARED SNIFF,2.85157
EM07_WD1,A = LOCOMOTION,0.88672
EM07_WD1,W = REARED SNIFF,3.29297
EM07_WD1,A = LOCOMOTION,2.34375
EM07_WD1,A = LOCOMOTION,1
EM07_WD1,W = REARED SNIFF,4.25391
EM07_WD1,F = CHEWING,0.3789
EM07_WD1,W = REARED SNIFF,6.3711
EM07_WD1,A = LOCOMOTION,2.55078
EM07_WD1,A = LOCOMOTION,0.25391
EM07_WD1,A = LOCOMOTION,0.89062
EM07_WD1,,
EM07_WD1,,
EM07_WD1,,
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,0.28516
EM07_WD1,A = LOCOMOTION,0.3789
EM07_WD1,W = REARED SNIFF,0.83985
EM07_WD1,H = JUMPING,0.09375
EM07_WD1,W = REARED SNIFF,3.6875
EM07_WD1,A = LOCOMOTION,1.10547
EM07_WD1,W = REARED SNIFF,3.52343
EM07_WD1,A = LOCOMOTION,1.42579
EM07_WD1,W = REARED SNIFF,8.24219
EM07_WD1,E = AGITATION OTHER,4.73437
EM07_WD1,,
EM07_WD1,F = CHEWING,1.95313
EM07_WD1,,
EM07_WD1,E = AGITATION OTHER,1.58984
EM07_WD1,F = CHEWING,1.99219
EM07_WD1,A = LOCOMOTION,1.47656
EM07_WD1,H = JUMPING,0.16016
EM07_WD1,W = REARED SNIFF,4.53906
EM07_WD1,A = LOCOMOTION,0.16016
EM07_WD1,W = REARED SNIFF,11.1211
EM07_WD1,A = LOCOMOTION,1.4415
EM07_WD1,W = REARED SNIFF,1.0507
EM07_WD1,,
EM07_WD1,E = AGITATION OTHER,3.2148
EM07_WD1,W = REARED SNIFF,1.0781
EM07_WD1,A = LOCOMOTION,0.8867
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,15.0313
EM07_WD1,W = REARED SNIFF,1.25
EM07_WD1,A = LOCOMOTION,2.2735
EM07_WD1,W = REARED SNIFF,0.2578
EM07_WD1,A = LOCOMOTION,0.586
EM07_WD1,W = REARED SNIFF,0.1875
EM07_WD1,H = JUMPING,0.0977
EM07_WD1,W = REARED SNIFF,1.2344
EM07_WD1,W = REARED SNIFF,4.1211
EM07_WD1,W = REARED SNIFF,0.4805
EM07_WD1,E = AGITATION OTHER,2.5664
EM07_WD1,W = REARED SNIFF,1.043
EM07_WD1,A = LOCOMOTION,1.3359
EM07_WD1,S = SCRATCHING,0.0977
EM07_WD1,W = REARED SNIFF,0.5078
EM07_WD1,D = GROOMING,0.0937
EM07_WD1,W = REARED SNIFF,0.2226
EM07_WD1,A = LOCOMOTION,0.5078
EM07_WD1,W = REARED SNIFF,4.375
EM07_WD1,A = LOCOMOTION,1
EM07_WD1,W = REARED SNIFF,4.6601
EM07_WD1,A = LOCOMOTION,0.2539
EM07_WD1,W = REARED SNIFF,0.8594
EM07_WD1,H = JUMPING,0.1289
EM07_WD1,S = SCRATCHING,1.9961
EM07_WD1,F = CHEWING,2.1562
EM07_WD1,S = SCRATCHING,0.6368
EM07_WD1,H = JUMPING,0.1601
EM07_WD1,A = LOCOMOTION,3.7148
EM07_WD1,W = REARED SNIFF,1.961
EM07_WD1,A = LOCOMOTION,0.125
