subject,total_session,total_entries,entry_time,entry_time_pct,crossings_per_area,behavior,behavior_frequency,behavior_time,rater
EM01,OPEN ARM,12,95.277379,46.1538461538462 %,84,G = GROOMING,0,0,Maya
EM01,CLOSED ARM,14,134.03129,53.8461538461538 %,94,H = HEAD DIPPING,21,79.65637,Maya
EM01,CENTRAL SQUARE (epm),,70.691331,,26,R = REARING,15,36.80839,Maya
EM02,OPEN ARM,9,102.15235,37.5 %,35,G = GROOMING,1,1.1797,Maya
EM02,CLOSED ARM,15,139.992076,62.5 %,83,H = HEAD DIPPING,21,93.94946,Maya
EM02,CENTRAL SQUARE (epm),,57.855574,,23,R = REARING,24,56.08193,Maya
EM07,OPEN ARM,14,136.99213,48.2758620689655 %,76,G = GROOMING,0,0,Maya
EM07,CLOSED ARM,15,108.476556,51.7241379310345 %,63,H = HEAD DIPPING,29,107.24575,Maya
EM07,CENTRAL SQUARE (epm),,54.531314,,28,R = REARING,31,40.56268,Maya
EM08,OPEN ARM,12,101.71876,48 %,46,G = GROOMING,1,0.6914,Maya
EM08,CLOSED ARM,13,117.836036,52 %,69,H = HEAD DIPPING,27,93.37926,Maya
EM08,CENTRAL SQUARE (epm),,80.445204,,24,R = REARING,27,61.53894,Maya
EM11,OPEN ARM,6,78.80081,35.2941176470588 %,26,G = GROOMING,1,2.1524,Maya
EM11,CLOSED ARM,11,154.855555,64.7058823529412 %,53,H = HEAD DIPPING,28,90.52757,Maya
EM11,CENTRAL SQUARE (epm),,66.343635,,16,R = REARING,24,50.99624,Maya
EM12,OPEN ARM,10,138.17189,50 %,68,G = GROOMING,3,2.74231,Maya
EM12,CLOSED ARM,10,102.835945,50 %,60,H = HEAD DIPPING,36,93.35527,Maya
EM12,CENTRAL SQUARE (epm),,58.992165,,19,R = REARING,22,51.13677,Maya
